Date,Time,Season,HomeTeam,AwayTeam,HTHG,HTAG,FTR,Pregame_Prob_H,Pregame_Prob_D,Pregame_Prob_A
2018-02-24,,17-18,Belenenses,Feirense,0.0,0.0,H,0.47049057,0.24692921,0.2825802
2018-02-24,,17-18,Maritimo,Guimaraes,3.0,1.0,H,0.4598911,0.28918585,0.25092307
2018-02-24,,17-18,Pacos Ferreira,Benfica,1.0,0.0,A,0.09230003,0.12530716,0.7823928
2018-02-25,,17-18,Boavista,Setubal,2.0,0.0,H,0.4346655,0.3012235,0.264111
2018-02-25,,17-18,Chaves,Estoril,1.0,0.0,H,0.5096653,0.2617304,0.22860432
2018-02-25,,17-18,Portimonense,Porto,0.0,3.0,A,0.11086582,0.15336,0.7357742
2018-02-26,,17-18,Sp Braga,Tondela,0.0,0.0,H,0.8204679,0.11950555,0.060026623
2018-02-26,,17-18,Sp Lisbon,Moreirense,0.0,0.0,H,0.7927083,0.13452865,0.07276302
2018-03-02,,17-18,Porto,Sp Lisbon,1.0,1.0,H,0.55226886,0.27043375,0.1772974
2018-03-03,,17-18,Benfica,Maritimo,4.0,0.0,H,0.8528254,0.09308468,0.05408998
2018-03-03,,17-18,Estoril,Sp Braga,0.0,3.0,A,0.10639516,0.1320988,0.761506
2018-03-03,,17-18,Feirense,Boavista,1.0,0.0,H,0.43398702,0.26421845,0.30179447
2018-03-04,,17-18,Guimaraes,Belenenses,0.0,0.0,D,0.53662753,0.25051627,0.21285619
2018-03-04,,17-18,Moreirense,Pacos Ferreira,1.0,0.0,H,0.52470404,0.23312032,0.24217567
2018-03-04,,17-18,Setubal,Rio Ave,0.0,0.0,H,0.3934375,0.27506468,0.33149782
2018-03-04,,17-18,Tondela,Chaves,1.0,0.0,H,0.423302,0.26103657,0.3156614
2018-03-05,,17-18,Aves,Portimonense,1.0,0.0,H,0.36770943,0.2601765,0.37211406
2018-03-09,,17-18,Sp Braga,Moreirense,1.0,0.0,H,0.82719827,0.11502544,0.05777631
2018-03-10,,17-18,Benfica,Aves,0.0,0.0,H,0.84696424,0.09931751,0.053718235
2018-03-10,,17-18,Boavista,Estoril,0.0,0.0,H,0.55719036,0.26058567,0.18222395
2018-03-10,,17-18,Rio Ave,Feirense,0.0,1.0,H,0.47878215,0.2695223,0.25169557
2018-03-11,,17-18,Belenenses,Tondela,0.0,0.0,D,0.4254862,0.28833,0.2861838
